1.6465466f0, 6.249794f-20
1.6473473f0, 7.188315f-20
1.6481482f0, 8.266593f-20
1.6489489f0, 9.505261f-20
1.6497498f0, 1.0927971f-19
1.6505506f0, 1.2561834f-19
1.6513513f0, 1.4437914f-19
1.6521522f0, 1.6591811f-19
1.6529529f0, 1.9064306f-19
1.6537538f0, 2.1902114f-19
1.6545546f0, 2.515874f-19
1.6553553f0, 2.8895456f-19
1.6561562f0, 3.3182407f-19
1.6569569f0, 3.809991f-19
1.6577578f0, 4.373989f-19
1.6585586f0, 5.020755f-19
1.6593593f0, 5.7623283f-19
1.6601602f0, 6.6124823f-19
1.6609609f0, 7.586973f-19
1.6617618f0, 8.703823f-19
1.6625626f0, 9.983641f-19
1.6633633f0, 1.1449995f-18
1.6641642f0, 1.3129826f-18
1.6649649f0, 1.5053934f-18
1.6657658f0, 1.7257517f-18
1.6665666f0, 1.97808f-18
1.6673673f0, 2.2669743f-18
1.6681682f0, 2.597685f-18
1.6689689f0, 2.9762095f-18
1.6697698f0, 3.4093972f-18
1.6705706f0, 3.905069f-18
1.6713713f0, 4.4721545f-18
1.6721722f0, 5.1208477f-18
1.6729729f0, 5.862783f-18
1.6737738f0, 6.7112377f-18
1.6745746f0, 7.681362f-18
1.6753753f0, 8.79044f-18
1.6761762f0, 1.0058188f-17
1.6769769f0, 1.1507091f-17
1.6777778f0, 1.316279f-17
1.6785786f0, 1.5054522f-17
1.6793793f0, 1.7215614f-17
1.6801802f0, 1.9684053f-17
1.680981f0, 2.2503133f-17
1.6817818f0, 2.5722184f-17
1.6825826f0, 2.9397407f-17
1.6833833f0, 3.3592824f-17
1.6841842f0, 3.838135f-17
1.684985f0, 4.384602f-17
1.6857858f0, 5.0081376f-17
1.6865866f0, 5.7195046f-17
1.6873873f0, 6.5309536f-17
1.6881882f0, 7.456427f-17
1.688989f0, 8.51179f-17
1.6897898f0, 9.7150914f-17
1.6905906f0, 1.1086864f-16
1.6913913f0, 1.265046f-16
1.6921922f0, 1.4432436f-16
1.692993f0, 1.6462985f-16
1.6937938f0, 1.8776437f-16
1.6945946f0, 2.1411807f-16
1.6953954f0, 2.4413438f-16
1.6961962f0, 2.7831719f-16
1.696997f0, 3.1723893f-16
1.6977978f0, 3.6154993f-16
1.6985986f0, 4.119887f-16
1.6993994f0, 4.69394f-16
1.7002002f0, 5.347182f-16
1.701001f0, 6.0904226f-16
1.7018018f0, 1.0f-45
1.7026026f0, 3.0f-45
1.7034034f0, 4.0f-45
1.7042042f0, 6.0f-45
1.705005f0, 8.0f-45
1.7058058f0, 1.3f-44
1.7066066f0, 1.8f-44
1.7074074f0, 2.7f-44
1.7082082f0, 3.9f-44
1.709009f0, 5.9f-44
1.7098098f0, 8.7f-44
1.7106106f0, 1.28f-43
1.7114114f0, 1.86f-43
1.7122122f0, 2.75f-43
1.713013f0, 4.02f-43
1.7138138f0, 5.91f-43
1.7146146f0, 8.67f-43
1.7154154f0, 1.271f-42
1.7162162f0, 1.862f-42
1.717017f0, 2.73f-42
1.7178178f0, 3.997f-42
1.7186186f0, 5.849f-42
1.7194194f0, 8.558f-42
1.7202202f0, 1.2514f-41
1.721021f0, 1.829f-41
1.7218218f0, 2.6721f-41
1.7226226f0, 3.902f-41
1.7234235f0, 5.6954f-41
1.7242242f0, 8.3093f-41
1.725025f0, 1.2117f-40
1.7258258f0, 1.76617f-40
1.7266266f0, 2.57313f-40
1.7274275f0, 3.74709f-40
1.7282282f0, 5.45409f-40
1.729029f0, 7.93503f-40
1.7298298f0, 1.153913f-39
1.7306306f0, 1.677237f-39
1.7314315f0, 2.43676f-39
1.7322322f0, 3.538573f-39
1.7330331f0, 5.136176f-39
1.7338338f0, 7.451577f-39
1.7346346f0, 1.0805689f-38
1.7354355f0, 1.5662192f-38
1.7362362f0, 2.2690715f-38
1.7370371f0, 3.2857845f-38
1.7378378f0, 4.755816f-38
1.7386386f0, 6.880274f-38
1.7394395f0, 9.949034f-38
1.7402402f0, 1.4379717f-37
1.7410411f0, 2.0773691f-37
1.7418418f0, 2.9996509f-37
1.7426426f0, 4.3293347f-37
1.7434435f0, 6.2454635f-37
1.7442442f0, 9.005359f-37
1.7450451f0, 1.2978663f-36
1.7458458f0, 1.8696105f-36
1.7466466f0, 2.6919334f-36
1.7474475f0, 3.874085f-36
1.7482482f0, 5.5726963f-36
1.7490491f0, 8.0122166f-36
1.7498498f0, 1.15141214f-35
1.7506506f0, 1.6538624f-35
1.7514515f0, 2.3744235f-35
1.7522522f0, 3.4072723f-35
1.7530531f0, 4.887031f-35
1.7538538f0, 7.0060393f-35
1.7546546f0, 1.0038967f-34
1.7554555f0, 1.4377855f-34
1.7562562f0, 2.0581995f-34
1.7570571f0, 2.9448884f-34
1.7578578f0, 4.2115107f-34
1.7586586f0, 6.0199688f-34
1.7594595f0, 8.600775f-34
1.7602602f0, 1.2281959f-33
1.7610611f0, 1.7530085f-33
1.7618619f0, 2.5008427f-33
1.7626626f0, 3.565943f-33
1.7634635f0, 5.082153f-33
1.7642642f0, 7.2394575f-33
1.7650651f0, 1.0307395f-32
1.7658659f0, 1.4668174f-32
1.7666667f0, 2.0863498f-32
1.7674675f0, 2.966072f-32
1.7682682f0, 4.21463f-32
1.7690691f0, 5.98577f-32
1.7698699f0, 8.49695f-32
1.7706707f0, 1.205558f-31
1.7714715f0, 1.7096015f-31
1.7722722f0, 2.4231648f-31
1.7730731f0, 3.4328274f-31
1.7738739f0, 4.8607303f-31
1.7746747f0, 6.8790936f-31
1.7754755f0, 9.730624f-31
1.7762762f0, 1.3757182f-30
1.7770771f0, 1.9440045f-30
1.7778779f0, 2.7456403f-30
1.7786787f0, 3.8758607f-30
1.7794795f0, 5.4685276f-30
1.7802802f0, 7.711697f-30
1.7810811f0, 1.0869423f-29
1.7818819f0, 1.5312266f-29
1.7826827f0, 2.1559988f-29
1.7834835f0, 3.0341233f-29
1.7842842f0, 4.2676925f-29
1.7850851f0, 5.999676f-29
1.7858859f0, 8.430179f-29
